Year,Sexo,GeoCode,Value
2021,,,45352
2020,,,44303
2019,,,43644
2018,,,43140
2017,,,42570
2016,,,41953
2015,,,41301
2014,,,40770
2013,,,40077
2012,,,39346
2011,,,38884
2010,,,38269
2009,,,37391
2021,Hombres,,11176
2020,Hombres,,10773
2019,Hombres,,10536
2018,Hombres,,10290
2017,Hombres,,9973
2016,Hombres,,9630
2015,Hombres,,9296
2014,Hombres,,8985
2013,Hombres,,8733
2012,Hombres,,8460
2011,Hombres,,8276
2010,Hombres,,8044
2009,Hombres,,7863
2021,Mujeres,,34176
2020,Mujeres,,33530
2019,Mujeres,,33108
2018,Mujeres,,32850
2017,Mujeres,,32597
2016,Mujeres,,32323
2015,Mujeres,,32005
2014,Mujeres,,31785
2013,Mujeres,,31344
2012,Mujeres,,30886
2011,Mujeres,,30608
2010,Mujeres,,30225
2009,Mujeres,,29528
2021,,1.0,1865
2020,,1.0,1881
2019,,1.0,1858
2018,,1.0,1839
2017,,1.0,1791
2016,,1.0,1805
2015,,1.0,1762
2014,,1.0,1721
2013,,1.0,1697
2012,,1.0,1691
2011,,1.0,1704
2010,,1.0,1696
2009,,1.0,1710
2021,,2.0,3097
2020,,2.0,3062
2019,,2.0,3021
2018,,2.0,3061
2017,,2.0,3042
2016,,2.0,3044
2015,,2.0,3070
2014,,2.0,3072
2013,,2.0,3050
2012,,2.0,3016
2011,,2.0,2975
2010,,2.0,2937
2009,,2.0,2922
2021,,3.0,3470
2020,,3.0,3423
2019,,3.0,3373
2018,,3.0,3350
2017,,3.0,3366
2016,,3.0,3335
2015,,3.0,3314
2014,,3.0,3293
2013,,3.0,3271
2012,,3.0,3240
2011,,3.0,3249
2010,,3.0,3256
2009,,3.0,3255
2021,,4.0,1987
2020,,4.0,1891
2019,,4.0,1819
2018,,4.0,1785
2017,,4.0,1725
2016,,4.0,1670
2015,,4.0,1624
2014,,4.0,1577
2013,,4.0,1517
2012,,4.0,1473
2011,,4.0,1429
2010,,4.0,1371
2009,,4.0,1296
2021,,5.0,3010
2020,,5.0,2976
2019,,5.0,2926
2018,,5.0,2932
2017,,5.0,2944
2016,,5.0,2899
2015,,5.0,2914
2014,,5.0,2920
2013,,5.0,2893
2012,,5.0,2882
2011,,5.0,2864
2010,,5.0,2844
2009,,5.0,2764
2021,,6.0,1879
2020,,6.0,1868
2019,,6.0,1844
2018,,6.0,1832
2017,,6.0,1805
2016,,6.0,1752
2015,,6.0,1715
2014,,6.0,1654
2013,,6.0,1595
2012,,6.0,1548
2011,,6.0,1482
2010,,6.0,1450
2009,,6.0,1387
2021,,7.0,3147
2020,,7.0,3100
2019,,7.0,3080
2018,,7.0,3105
2017,,7.0,3103
2016,,7.0,3061
2015,,7.0,3027
2014,,7.0,3016
2013,,7.0,3013
2012,,7.0,2933
2011,,7.0,2921
2010,,7.0,2958
2009,,7.0,2884
2021,,8.0,3053
2020,,8.0,2920
2019,,8.0,2829
2018,,8.0,2733
2017,,8.0,2646
2016,,8.0,2601
2015,,8.0,2538
2014,,8.0,2541
2013,,8.0,2461
2012,,8.0,2390
2011,,8.0,2350
2010,,8.0,2246
2009,,8.0,2135
2021,,9.0,2845
2020,,9.0,2759
2019,,9.0,2735
2018,,9.0,2660
2017,,9.0,2628
2016,,9.0,2627
2015,,9.0,2543
2014,,9.0,2495
2013,,9.0,2493
2012,,9.0,2416
2011,,9.0,2377
2010,,9.0,2341
2009,,9.0,2311
2021,,10.0,4012
2020,,10.0,3882
2019,,10.0,3861
2018,,10.0,3808
2017,,10.0,3802
2016,,10.0,3693
2015,,10.0,3623
2014,,10.0,3574
2013,,10.0,3475
2012,,10.0,3442
2011,,10.0,3378
2010,,10.0,3332
2009,,10.0,3203
2021,,11.0,3265
2020,,11.0,3204
2019,,11.0,3184
2018,,11.0,3172
2017,,11.0,3142
2016,,11.0,3132
2015,,11.0,3113
2014,,11.0,3105
2013,,11.0,3087
2012,,11.0,3069
2011,,11.0,3088
2010,,11.0,3065
2009,,11.0,3065
2021,,12.0,3236
2020,,12.0,3147
2019,,12.0,3077
2018,,12.0,3049
2017,,12.0,2986
2016,,12.0,2936
2015,,12.0,2889
2014,,12.0,2836
2013,,12.0,2750
2012,,12.0,2684
2011,,12.0,2658
2010,,12.0,2618
2009,,12.0,2517
2021,,13.0,2300
2020,,13.0,2211
2019,,13.0,2154
2018,,13.0,2111
2017,,13.0,2062
2016,,13.0,2034
2015,,13.0,1971
2014,,13.0,1880
2013,,13.0,1816
2012,,13.0,1738
2011,,13.0,1676
2010,,13.0,1599
2009,,13.0,1533
2021,,14.0,1650
2020,,14.0,1622
2019,,14.0,1599
2018,,14.0,1540
2017,,14.0,1496
2016,,14.0,1418
2015,,14.0,1369
2014,,14.0,1355
2013,,14.0,1332
2012,,14.0,1316
2011,,14.0,1301
2010,,14.0,1282
2009,,14.0,1256
2021,,15.0,2451
2020,,15.0,2355
2019,,15.0,2349
2018,,15.0,2330
2017,,15.0,2285
2016,,15.0,2256
2015,,15.0,2212
2014,,15.0,2190
2013,,15.0,2163
2012,,15.0,2090
2011,,15.0,2065
2010,,15.0,2004
2009,,15.0,1939
2021,,16.0,2061
2020,,16.0,2023
2019,,16.0,1996
2018,,16.0,1953
2017,,16.0,1907
2016,,16.0,1858
2015,,16.0,1824
2014,,16.0,1761
2013,,16.0,1735
2012,,16.0,1719
2011,,16.0,1691
2010,,16.0,1622
2009,,16.0,1586
2021,,17.0,305
2020,,17.0,312
2019,,17.0,303
2018,,17.0,292
2017,,17.0,294
2016,,17.0,295
2015,,17.0,304
2014,,17.0,308
2013,,17.0,301
2012,,17.0,295
2011,,17.0,294
2010,,17.0,296
2009,,17.0,284
2021,,18.0,628
2020,,18.0,612
2019,,18.0,588
2018,,18.0,573
2017,,18.0,571
2016,,18.0,559
2015,,18.0,543
2014,,18.0,538
2013,,18.0,524
2012,,18.0,513
2011,,18.0,515
2010,,18.0,504
2009,,18.0,507
2021,,19.0,1091
2020,,19.0,1055
2019,,19.0,1048
2018,,19.0,1015
2017,,19.0,975
2016,,19.0,978
2015,,19.0,946
2014,,19.0,934
2013,,19.0,904
2012,,19.0,891
2011,,19.0,867
2010,,19.0,848
2009,,19.0,837
2021,,,73
2020,,,75
2019,,,70
2018,,,71
2017,,,62
2016,,,59
2015,,,61
2014,,,65
2013,,,65
2012,,,59
2011,,,54
2010,,,55
2009,,,58
2021,,,58
2020,,,62
2019,,,67
2018,,,72
2017,,,70
2016,,,76
2015,,,73
2014,,,75
2013,,,78
2012,,,73
2011,,,81
2010,,,78
2009,,,81
2021,,,79
2020,,,80
2019,,,73
2018,,,66
2017,,,62
2016,,,72
2015,,,71
2014,,,68
2013,,,69
2012,,,72
2011,,,74
2010,,,70
2009,,,68
2021,,,77
2020,,,76
2019,,,78
2018,,,79
2017,,,71
2016,,,70
2015,,,76
2014,,,72
2013,,,68
2012,,,69
2011,,,68
2010,,,64
2009,,,59
2021,,,64
2020,,,67
2019,,,66
2018,,,67
2017,,,70
2016,,,68
2015,,,63
2014,,,64
2013,,,61
2012,,,63
2011,,,64
2010,,,59
2009,,,62
2021,,,70
2020,,,67
2019,,,70
2018,,,70
2017,,,64
2016,,,62
2015,,,65
2014,,,66
2013,,,65
2012,,,69
2011,,,71
2010,,,80
2009,,,77
2021,,,76
2020,,,77
2019,,,71
2018,,,66
2017,,,61
2016,,,61
2015,,,59
2014,,,56
2013,,,51
2012,,,57
2011,,,55
2010,,,55
2009,,,54
2021,,,62
2020,,,63
2019,,,61
2018,,,61
2017,,,60
2016,,,60
2015,,,51
2014,,,48
2013,,,51
2012,,,43
2011,,,50
2010,,,55
2009,,,56
2021,,,114
2020,,,112
2019,,,105
2018,,,103
2017,,,111
2016,,,100
2015,,,101
2014,,,101
2013,,,97
2012,,,92
2011,,,102
2010,,,93
2009,,,87
2021,,,43
2020,,,49
2019,,,47
2018,,,46
2017,,,47
2016,,,47
2015,,,43
2014,,,41
2013,,,42
2012,,,43
2011,,,43
2010,,,41
2009,,,45
2021,,,104
2020,,,101
2019,,,108
2018,,,52
2017,,,56
2016,,,58
2015,,,61
2014,,,54
2013,,,54
2012,,,55
2011,,,59
2010,,,61
2009,,,61
2021,,,40
2020,,,42
2019,,,41
2018,,,37
2017,,,32
2016,,,37
2015,,,35
2014,,,38
2013,,,42
2012,,,38
2011,,,38
2010,,,40
2009,,,41
2021,,,71
2020,,,71
2019,,,71
2018,,,66
2017,,,69
2016,,,69
2015,,,65
2014,,,57
2013,,,58
2012,,,61
2011,,,60
2010,,,65
2009,,,64
2021,,,102
2020,,,102
2019,,,92
2018,,,101
2017,,,99
2016,,,94
2015,,,90
2014,,,85
2013,,,77
2012,,,81
2011,,,74
2010,,,73
2009,,,88
2021,,,88
2020,,,93
2019,,,90
2018,,,89
2017,,,80
2016,,,80
2015,,,80
2014,,,79
2013,,,78
2012,,,81
2011,,,78
2010,,,75
2009,,,68
2021,,,49
2020,,,52
2019,,,54
2018,,,54
2017,,,58
2016,,,61
2015,,,57
2014,,,60
2013,,,66
2012,,,66
2011,,,69
2010,,,72
2009,,,72
2021,,,67
2020,,,67
2019,,,71
2018,,,67
2017,,,63
2016,,,73
2015,,,78
2014,,,77
2013,,,82
2012,,,76
2011,,,79
2010,,,76
2009,,,71
2021,,,80
2020,,,75
2019,,,69
2018,,,64
2017,,,63
2016,,,65
2015,,,63
2014,,,64
2013,,,57
2012,,,66
2011,,,66
2010,,,68
2009,,,69
2021,,,105
2020,,,96
2019,,,91
2018,,,99
2017,,,100
2016,,,100
2015,,,98
2014,,,86
2013,,,80
2012,,,79
2011,,,77
2010,,,80
2009,,,87
2021,,,65
2020,,,69
2019,,,71
2018,,,60
2017,,,64
2016,,,60
2015,,,56
2014,,,59
2013,,,61
2012,,,65
2011,,,62
2010,,,69
2009,,,67
2021,,,78
2020,,,79
2019,,,78
2018,,,75
2017,,,70
2016,,,75
2015,,,70
2014,,,66
2013,,,67
2012,,,64
2011,,,63
2010,,,62
2009,,,63
2021,,,63
2020,,,62
2019,,,66
2018,,,73
2017,,,67
2016,,,72
2015,,,66
2014,,,60
2013,,,52
2012,,,54
2011,,,52
2010,,,52
2009,,,53
2021,,,118
2020,,,126
2019,,,124
2018,,,127
2017,,,119
2016,,,123
2015,,,117
2014,,,117
2013,,,113
2012,,,112
2011,,,108
2010,,,104
2009,,,104
2021,,,119
2020,,,118
2019,,,124
2018,,,117
2017,,,117
2016,,,112
2015,,,112
2014,,,114
2013,,,113
2012,,,107
2011,,,115
2010,,,105
2009,,,113
2021,,,96
2020,,,100
2019,,,91
2018,,,96
2017,,,99
2016,,,101
2015,,,102
2014,,,99
2013,,,102
2012,,,92
2011,,,90
2010,,,88
2009,,,90
2021,,,77
2020,,,78
2019,,,80
2018,,,87
2017,,,85
2016,,,82
2015,,,87
2014,,,84
2013,,,84
2012,,,80
2011,,,75
2010,,,77
2009,,,74
2021,,,121
2020,,,126
2019,,,128
2018,,,136
2017,,,144
2016,,,145
2015,,,149
2014,,,146
2013,,,143
2012,,,139
2011,,,151
2010,,,151
2009,,,154
2021,,,94
2020,,,88
2019,,,92
2018,,,94
2017,,,91
2016,,,91
2015,,,89
2014,,,90
2013,,,93
2012,,,98
2011,,,99
2010,,,96
2009,,,93
2021,,,93
2020,,,92
2019,,,82
2018,,,87
2017,,,85
2016,,,84
2015,,,88
2014,,,88
2013,,,87
2012,,,85
2011,,,84
2010,,,82
2009,,,84
2021,,,79
2020,,,77
2019,,,71
2018,,,68
2017,,,73
2016,,,76
2015,,,76
2014,,,72
2013,,,69
2012,,,63
2011,,,60
2010,,,53
2009,,,59
2021,,,66
2020,,,67
2019,,,66
2018,,,68
2017,,,61
2016,,,60
2015,,,61
2014,,,63
2013,,,64
2012,,,64
2011,,,63
2010,,,57
2009,,,59
2021,,,91
2020,,,91
